Variable,Coeficiente,Importancia
Lot Frontage,-0.0,0.0
Lot Area,0.03982747091031348,0.03982747091031348
Overall Qual,0.09150934712047479,0.09150934712047479
Overall Cond,0.04936608874700018,0.04936608874700018
Year Built,0.059266143226291194,0.059266143226291194
Year Remod/Add,0.012075938983110447,0.012075938983110447
Mas Vnr Area,-0.0,0.0
BsmtFin SF 1,0.023943657816538372,0.023943657816538372
BsmtFin SF 2,0.0,0.0
Bsmt Unf SF,-0.0035461067334178376,0.0035461067334178376
Total Bsmt SF,0.024240409267039558,0.024240409267039558
1st Flr SF,0.06298614628951897,0.06298614628951897
2nd Flr SF,0.0525793290988018,0.0525793290988018
Low Qual Fin SF,0.0,0.0
Gr Liv Area,0.07764516015465388,0.07764516015465388
Bsmt Full Bath,0.016538788332050188,0.016538788332050188
Bsmt Half Bath,0.0,0.0
Full Bath,0.012428753224172898,0.012428753224172898
Half Bath,0.003400584658906966,0.003400584658906966
Bedroom AbvGr,-0.005884656226731838,0.005884656226731838
Kitchen AbvGr,-0.010166923777379513,0.010166923777379513
TotRms AbvGrd,-0.003734257140076065,0.003734257140076065
Fireplaces,0.013214319774011463,0.013214319774011463
Garage Yr Blt,0.009924218984735566,0.009924218984735566
Garage Cars,0.027303946674106617,0.027303946674106617
Garage Area,-0.0023194934272456704,0.0023194934272456704
Wood Deck SF,0.005616628165168911,0.005616628165168911
Open Porch SF,0.0028538667766709303,0.0028538667766709303
Enclosed Porch,0.0068303513622284,0.0068303513622284
3Ssn Porch,0.0015142160416780318,0.0015142160416780318
Screen Porch,0.013744008775711738,0.013744008775711738
Pool Area,-0.0008217844910583942,0.0008217844910583942
Misc Val,-0.0059250231351929295,0.0059250231351929295
MS SubClass_150,-0.0,0.0
MS SubClass_160,-0.019145418197565458,0.019145418197565458
MS SubClass_180,-0.0,0.0
MS SubClass_190,0.0,0.0
MS SubClass_20,0.017415106324296045,0.017415106324296045
MS SubClass_30,-0.014741373248843488,0.014741373248843488
MS SubClass_40,-0.0,0.0
MS SubClass_45,0.0,0.0
MS SubClass_50,0.0,0.0
MS SubClass_60,-0.00634412594924185,0.00634412594924185
MS SubClass_70,0.02336286907833859,0.02336286907833859
MS SubClass_75,0.0,0.0
MS SubClass_80,-0.0,0.0
MS SubClass_85,0.001513305473419272,0.001513305473419272
MS SubClass_90,-0.0,0.0
MS Zoning_C (all),-0.04340996253915993,0.04340996253915993
MS Zoning_FV,0.031737811850083904,0.031737811850083904
MS Zoning_I (all),0.0,0.0
MS Zoning_RH,0.0,0.0
MS Zoning_RL,0.031776526599519475,0.031776526599519475
MS Zoning_RM,-0.0,0.0
Street_Pave,0.0,0.0
Alley_None,-0.004114592320274899,0.004114592320274899
Alley_Pave,0.0,0.0
Lot Shape_IR2,0.00015435556221965973,0.00015435556221965973
Lot Shape_IR3,-0.008496756870117281,0.008496756870117281
Lot Shape_Reg,0.00027945242594319935,0.00027945242594319935
Land Contour_HLS,0.031468709867294824,0.031468709867294824
Land Contour_Low,-0.0,0.0
Land Contour_Lvl,0.014222751044619737,0.014222751044619737
Utilities_NoSeWa,-0.0,0.0
Utilities_NoSewr,-0.0,0.0
Lot Config_CulDSac,0.01157823970359092,0.01157823970359092
Lot Config_FR2,-0.0,0.0
Lot Config_FR3,-0.0,0.0
Lot Config_Inside,0.0,0.0
Land Slope_Mod,0.0,0.0
Land Slope_Sev,0.0,0.0
Neighborhood_Blueste,0.0,0.0
Neighborhood_BrDale,0.0,0.0
Neighborhood_BrkSide,0.01965371313004067,0.01965371313004067
Neighborhood_ClearCr,0.0,0.0
Neighborhood_CollgCr,-0.0,0.0
Neighborhood_Crawfor,0.06608062754508537,0.06608062754508537
Neighborhood_Edwards,-0.03171781849306944,0.03171781849306944
Neighborhood_Gilbert,-0.01654180620897947,0.01654180620897947
Neighborhood_Greens,0.0,0.0
Neighborhood_GrnHill,0.0,0.0
Neighborhood_IDOTRR,-0.024572998273759226,0.024572998273759226
Neighborhood_Landmrk,-0.0,0.0
Neighborhood_MeadowV,-0.005626565840256618,0.005626565840256618
Neighborhood_Mitchel,-0.004459880841561421,0.004459880841561421
Neighborhood_NAmes,-0.009804439619158459,0.009804439619158459
Neighborhood_NPkVill,0.0,0.0
Neighborhood_NWAmes,-0.020983391676456062,0.020983391676456062
Neighborhood_NoRidge,0.039743740235242665,0.039743740235242665
Neighborhood_NridgHt,0.06986527082232968,0.06986527082232968
Neighborhood_OldTown,-0.019036664843177318,0.019036664843177318
Neighborhood_SWISU,0.0,0.0
Neighborhood_Sawyer,0.0,0.0
Neighborhood_SawyerW,-0.008794320780569275,0.008794320780569275
Neighborhood_Somerst,0.044171606324026044,0.044171606324026044
Neighborhood_StoneBr,0.044463332432276494,0.044463332432276494
Neighborhood_Timber,-0.0,0.0
Neighborhood_Veenker,-0.0,0.0
Condition 1_Feedr,-0.0036636206200933684,0.0036636206200933684
Condition 1_Norm,0.036170995809536116,0.036170995809536116
Condition 1_PosA,0.0,0.0
Condition 1_PosN,0.02335925535368016,0.02335925535368016
