Variable,Coeficiente,Importancia
Lot Frontage,-0.0,0.0
Lot Area,0.039695857547440185,0.039695857547440185
Overall Qual,0.08869098223035991,0.08869098223035991
Overall Cond,0.04959289697470236,0.04959289697470236
Year Built,0.060185602486306645,0.060185602486306645
Year Remod/Add,0.01132558295737203,0.01132558295737203
Mas Vnr Area,-0.0,0.0
BsmtFin SF 1,0.023106300672080245,0.023106300672080245
BsmtFin SF 2,-0.0,0.0
Bsmt Unf SF,-0.004645513083311142,0.004645513083311142
Total Bsmt SF,0.024730911075415685,0.024730911075415685
1st Flr SF,0.061927106980779204,0.061927106980779204
2nd Flr SF,0.0534912841223531,0.0534912841223531
Low Qual Fin SF,0.0,0.0
Gr Liv Area,0.07994093007941919,0.07994093007941919
Bsmt Full Bath,0.016333502246572214,0.016333502246572214
Bsmt Half Bath,0.0002212230140863058,0.0002212230140863058
Full Bath,0.011876245632350502,0.011876245632350502
Half Bath,0.0030171999002377176,0.0030171999002377176
Bedroom AbvGr,-0.005520469699514834,0.005520469699514834
Kitchen AbvGr,-0.009641380291780962,0.009641380291780962
TotRms AbvGrd,-0.005007810022765289,0.005007810022765289
Fireplaces,0.012971079651301403,0.012971079651301403
Garage Yr Blt,0.009789768583821265,0.009789768583821265
Garage Cars,0.028340990955843717,0.028340990955843717
Garage Area,-0.0037274174945486588,0.0037274174945486588
Wood Deck SF,0.005450739822716788,0.005450739822716788
Open Porch SF,0.002746125579981743,0.002746125579981743
Enclosed Porch,0.006830609413820896,0.006830609413820896
3Ssn Porch,0.0014938448125094517,0.0014938448125094517
Screen Porch,0.013510900557790641,0.013510900557790641
Pool Area,-0.0006704539669863626,0.0006704539669863626
Misc Val,-0.005843747093557735,0.005843747093557735
MS SubClass_150,-0.0,0.0
MS SubClass_160,-0.022813733956456486,0.022813733956456486
MS SubClass_180,-0.0,0.0
MS SubClass_190,0.0,0.0
MS SubClass_20,0.01988376602864474,0.01988376602864474
MS SubClass_30,-0.012818375418926909,0.012818375418926909
MS SubClass_40,-0.0,0.0
MS SubClass_45,0.0,0.0
MS SubClass_50,0.0,0.0
MS SubClass_60,-0.004960140945828331,0.004960140945828331
MS SubClass_70,0.027757401408814903,0.027757401408814903
MS SubClass_75,0.0,0.0
MS SubClass_80,-0.0,0.0
MS SubClass_85,0.0010817573827597523,0.0010817573827597523
MS SubClass_90,-0.0,0.0
MS Zoning_C (all),-0.06760898605118616,0.06760898605118616
MS Zoning_FV,0.029628902599707806,0.029628902599707806
MS Zoning_I (all),0.0,0.0
MS Zoning_RH,0.0,0.0
MS Zoning_RL,0.0320197946907055,0.0320197946907055
MS Zoning_RM,-0.0,0.0
Street_Pave,0.0,0.0
Alley_None,-0.0033563063359658752,0.0033563063359658752
Alley_Pave,0.0,0.0
Lot Shape_IR2,0.0,0.0
Lot Shape_IR3,-0.008407831899834647,0.008407831899834647
Lot Shape_Reg,0.0013378893921497253,0.0013378893921497253
Land Contour_HLS,0.033318431450040674,0.033318431450040674
Land Contour_Low,0.0,0.0
Land Contour_Lvl,0.016639977703911103,0.016639977703911103
Utilities_NoSeWa,-0.0,0.0
Utilities_NoSewr,-0.0,0.0
Lot Config_CulDSac,0.011888235954900754,0.011888235954900754
Lot Config_FR2,-0.0,0.0
Lot Config_FR3,-0.0,0.0
Lot Config_Inside,-0.0,0.0
Land Slope_Mod,0.0,0.0
Land Slope_Sev,0.0,0.0
Neighborhood_Blueste,0.0,0.0
Neighborhood_BrDale,0.0,0.0
Neighborhood_BrkSide,0.02296185460881403,0.02296185460881403
Neighborhood_ClearCr,0.0,0.0
Neighborhood_CollgCr,-0.0,0.0
Neighborhood_Crawfor,0.07604530353682513,0.07604530353682513
Neighborhood_Edwards,-0.033258483607715446,0.033258483607715446
Neighborhood_Gilbert,-0.012511359541551404,0.012511359541551404
Neighborhood_Greens,0.0,0.0
Neighborhood_GrnHill,0.0,0.0
Neighborhood_IDOTRR,-0.01832736440457622,0.01832736440457622
Neighborhood_Landmrk,-0.0,0.0
Neighborhood_MeadowV,-0.005923943681162716,0.005923943681162716
Neighborhood_Mitchel,-0.002937308378814063,0.002937308378814063
Neighborhood_NAmes,-0.010135277184839088,0.010135277184839088
Neighborhood_NPkVill,0.0,0.0
Neighborhood_NWAmes,-0.020088648234803372,0.020088648234803372
Neighborhood_NoRidge,0.053321406566301285,0.053321406566301285
Neighborhood_NridgHt,0.08306537558295585,0.08306537558295585
Neighborhood_OldTown,-0.017743322281732657,0.017743322281732657
Neighborhood_SWISU,0.0,0.0
Neighborhood_Sawyer,0.0,0.0
Neighborhood_SawyerW,-0.005688325520241994,0.005688325520241994
Neighborhood_Somerst,0.05662569195948539,0.05662569195948539
Neighborhood_StoneBr,0.06518228826444687,0.06518228826444687
Neighborhood_Timber,0.0,0.0
Neighborhood_Veenker,-0.0,0.0
Condition 1_Feedr,-9.721043568519793e-05,9.721043568519793e-05
Condition 1_Norm,0.03968542203876421,0.03968542203876421
Condition 1_PosA,0.0,0.0
Condition 1_PosN,0.03405870453592568,0.03405870453592568
Condition 1_RRAe,-0.0,0.0
Condition 1_RRAn,0.0,0.0
Condition 1_RRNe,-0.0,0.0
Condition 1_RRNn,-0.0,0.0
Condition 2_Feedr,-0.0,0.0
Condition 2_Norm,0.0,0.0
Condition 2_PosA,0.0,0.0
Condition 2_PosN,0.0,0.0
Condition 2_RRAe,-0.0,0.0
Condition 2_RRAn,-0.0,0.0
Condition 2_RRNn,0.0,0.0
Bldg Type_2fmCon,0.0,0.0
Bldg Type_Duplex,-0.0,0.0
Bldg Type_Twnhs,-0.01122514174461784,0.01122514174461784
Bldg Type_TwnhsE,0.0,0.0
House Style_1.5Unf,0.0,0.0
House Style_1Story,0.0,0.0
House Style_2.5Fin,0.0,0.0
House Style_2.5Unf,0.0,0.0
House Style_2Story,-0.00944331869319884,0.00944331869319884
House Style_SFoyer,0.0,0.0
House Style_SLvl,-0.002035042495142959,0.002035042495142959
Roof Style_Gable,-0.0,0.0
Roof Style_Gambrel,-0.0,0.0
Roof Style_Hip,0.0,0.0
Roof Style_Mansard,-0.0,0.0
Roof Style_Shed,-0.0,0.0
Roof Matl_CompShg,-0.0,0.0
Roof Matl_Membran,0.0,0.0
Roof Matl_Metal,0.0,0.0
Roof Matl_Roll,0.0,0.0
Roof Matl_Tar&Grv,0.0,0.0
Roof Matl_WdShake,-0.0,0.0
Roof Matl_WdShngl,0.0,0.0
Exterior 1st_AsphShn,0.0,0.0
Exterior 1st_BrkComm,0.0,0.0
Exterior 1st_BrkFace,0.07357017144341042,0.07357017144341042
Exterior 1st_CBlock,-0.0,0.0
Exterior 1st_CemntBd,0.0,0.0
Exterior 1st_HdBoard,-0.0,0.0
Exterior 1st_ImStucc,-0.0,0.0
Exterior 1st_MetalSd,0.0,0.0
Exterior 1st_Plywood,-0.0,0.0
Exterior 1st_PreCast,0.0,0.0
Exterior 1st_Stone,0.0,0.0
Exterior 1st_Stucco,-0.0,0.0
Exterior 1st_VinylSd,0.00339850452993801,0.00339850452993801
Exterior 1st_Wd Sdng,0.0,0.0
Exterior 1st_WdShing,0.0,0.0
Exterior 2nd_AsphShn,0.0,0.0
Exterior 2nd_Brk Cmn,0.0,0.0
Exterior 2nd_BrkFace,-0.0,0.0
Exterior 2nd_CBlock,-0.0,0.0
Exterior 2nd_CmentBd,0.0,0.0
Exterior 2nd_HdBoard,-0.0,0.0
Exterior 2nd_ImStucc,0.0,0.0
Exterior 2nd_MetalSd,0.012994890928182436,0.012994890928182436
Exterior 2nd_Other,0.0,0.0
Exterior 2nd_Plywood,-0.0,0.0
Exterior 2nd_PreCast,0.0,0.0
Exterior 2nd_Stone,-0.0,0.0
Exterior 2nd_Stucco,-0.0,0.0
Exterior 2nd_VinylSd,0.0,0.0
Exterior 2nd_Wd Sdng,0.0,0.0
Exterior 2nd_Wd Shng,0.0,0.0
Mas Vnr Type_BrkFace,-0.00025708489604753015,0.00025708489604753015
Mas Vnr Type_CBlock,-0.0,0.0
Mas Vnr Type_None,0.00024990110639806805,0.00024990110639806805
Mas Vnr Type_Stone,0.0,0.0
Exter Qual_Fa,-0.0,0.0
Exter Qual_Gd,0.0,0.0
Exter Qual_TA,-0.007639626517124375,0.007639626517124375
Exter Cond_Fa,-0.020120657182916363,0.020120657182916363
Exter Cond_Gd,0.0,0.0
Exter Cond_Po,-0.0,0.0
Exter Cond_TA,0.019995955899977144,0.019995955899977144
Foundation_CBlock,0.0,0.0
Foundation_PConc,0.018888462100962726,0.018888462100962726
Foundation_Slab,-0.0,0.0
Foundation_Stone,0.0,0.0
Foundation_Wood,-0.0,0.0
Bsmt Qual_Fa,-0.023966803046055182,0.023966803046055182
Bsmt Qual_Gd,-0.021021295312770045,0.021021295312770045
Bsmt Qual_None,0.0,0.0
Bsmt Qual_Po,0.0,0.0
Bsmt Qual_TA,-0.01635797233716661,0.01635797233716661
Bsmt Cond_Fa,-0.0,0.0
Bsmt Cond_Gd,0.0,0.0
Bsmt Cond_None,0.0,0.0
Bsmt Cond_Po,0.0,0.0
Bsmt Cond_TA,0.0,0.0
Bsmt Exposure_Gd,0.031896391265015,0.031896391265015
Bsmt Exposure_Mn,-0.020692452306239933,0.020692452306239933
Bsmt Exposure_No,-0.027311298049720073,0.027311298049720073
Bsmt Exposure_None,0.0,0.0
BsmtFin Type 1_BLQ,-0.0006994289415774472,0.0006994289415774472
BsmtFin Type 1_GLQ,0.0021283971494548055,0.0021283971494548055
BsmtFin Type 1_LwQ,-0.0063143316387257445,0.0063143316387257445
BsmtFin Type 1_None,0.0,0.0
BsmtFin Type 1_Rec,-0.005544989744572351,0.005544989744572351
BsmtFin Type 1_Unf,0.0,0.0
BsmtFin Type 2_BLQ,-0.0,0.0
BsmtFin Type 2_GLQ,0.0,0.0
BsmtFin Type 2_LwQ,0.0,0.0
BsmtFin Type 2_None,0.0,0.0
BsmtFin Type 2_Rec,-0.0,0.0
BsmtFin Type 2_Unf,0.0,0.0
Heating_GasA,0.0,0.0
Heating_GasW,0.0,0.0
Heating_Grav,-0.0,0.0
Heating_OthW,-0.0,0.0
Heating_Wall,-0.0,0.0
Heating QC_Fa,-0.0026298620230440933,0.0026298620230440933
Heating QC_Gd,-0.0,0.0
Heating QC_Po,-0.0,0.0
Heating QC_TA,-0.019782740794575888,0.019782740794575888
