Variable,Coeficiente,Importancia
Lot Frontage,0.005731492944953886,0.005731492944953886
Lot Area,0.043506316927214767,0.043506316927214767
Overall Qual,0.06207620736775611,0.06207620736775611
Overall Cond,0.04640853598375655,0.04640853598375655
Year Built,0.07320747726433134,0.07320747726433134
Year Remod/Add,0.0069137130732384935,0.0069137130732384935
Mas Vnr Area,0.008760501659749627,0.008760501659749627
BsmtFin SF 1,0.069429640550274,0.069429640550274
BsmtFin SF 2,0.025747927933490372,0.025747927933490372
Bsmt Unf SF,0.0015959532836040055,0.0015959532836040055
Total Bsmt SF,0.0498564437573355,0.0498564437573355
1st Flr SF,0.04584015997174096,0.04584015997174096
2nd Flr SF,0.05341669187694492,0.05341669187694492
Low Qual Fin SF,0.001696355738928082,0.001696355738928082
Gr Liv Area,0.08945557088811903,0.08945557088811903
Bsmt Full Bath,0.011128887763617645,0.011128887763617645
Bsmt Half Bath,0.00268342447393613,0.00268342447393613
Full Bath,0.011396812061512065,0.011396812061512065
Half Bath,0.00683778405592278,0.00683778405592278
Bedroom AbvGr,-0.007971584248175997,0.007971584248175997
Kitchen AbvGr,-0.004978730552850114,0.004978730552850114
TotRms AbvGrd,-0.0006843676960012895,0.0006843676960012895
Fireplaces,0.017017110612626854,0.017017110612626854
Garage Yr Blt,0.009574329518288932,0.009574329518288932
Garage Cars,0.020101060328173742,0.020101060328173742
Garage Area,0.0017869503616433774,0.0017869503616433774
Wood Deck SF,0.005113429796593322,0.005113429796593322
Open Porch SF,0.002073711254671942,0.002073711254671942
Enclosed Porch,0.006202624484956981,0.006202624484956981
3Ssn Porch,0.0023761590836074986,0.0023761590836074986
Screen Porch,0.011457451033085236,0.011457451033085236
Pool Area,-0.018214129346954405,0.018214129346954405
Misc Val,-0.002577103009333212,0.002577103009333212
MS SubClass_150,-0.154849469630224,0.154849469630224
MS SubClass_160,-0.05480643140048122,0.05480643140048122
MS SubClass_180,-0.02221299869169193,0.02221299869169193
MS SubClass_190,0.00980591176821792,0.00980591176821792
MS SubClass_20,0.014212793614395286,0.014212793614395286
MS SubClass_30,-0.019586407423028085,0.019586407423028085
MS SubClass_40,-0.027421726845219242,0.027421726845219242
MS SubClass_45,-0.1937417744978041,0.1937417744978041
MS SubClass_50,0.017962792332012333,0.017962792332012333
MS SubClass_60,-0.02146535784358218,0.02146535784358218
MS SubClass_70,0.05169164978086636,0.05169164978086636
MS SubClass_75,0.04034755275565957,0.04034755275565957
MS SubClass_80,-0.08250750151908767,0.08250750151908767
MS SubClass_85,0.008556947848535792,0.008556947848535792
MS SubClass_90,-0.027178073029636478,0.027178073029636478
MS Zoning_C (all),-0.15047041348539839,0.15047041348539839
MS Zoning_FV,0.11445467622701753,0.11445467622701753
MS Zoning_I (all),0.28496425686407356,0.28496425686407356
MS Zoning_RH,0.1290858733826953,0.1290858733826953
MS Zoning_RL,0.08711052879262604,0.08711052879262604
MS Zoning_RM,0.040577684221396876,0.040577684221396876
Street_Pave,0.08264947676550512,0.08264947676550512
Alley_None,-0.015368989831771294,0.015368989831771294
Alley_Pave,0.01264923547725718,0.01264923547725718
Lot Shape_IR2,0.013483159129450046,0.013483159129450046
Lot Shape_IR3,0.010178598638656777,0.010178598638656777
Lot Shape_Reg,0.010672581556120359,0.010672581556120359
Land Contour_HLS,0.01418232613916285,0.01418232613916285
Land Contour_Low,-0.003888084079296694,0.003888084079296694
Land Contour_Lvl,0.00814100103180241,0.00814100103180241
Utilities_NoSeWa,-0.17387525476535465,0.17387525476535465
Utilities_NoSewr,-0.19685008796264336,0.19685008796264336
Lot Config_CulDSac,0.00998513232152633,0.00998513232152633
Lot Config_FR2,-0.02008676065015616,0.02008676065015616
Lot Config_FR3,-0.051535755730356056,0.051535755730356056
Lot Config_Inside,-0.005382861225845723,0.005382861225845723
Land Slope_Mod,0.0175125398744593,0.0175125398744593
Land Slope_Sev,-0.04678591000067238,0.04678591000067238
Neighborhood_Blueste,0.08673013326528345,0.08673013326528345
Neighborhood_BrDale,0.07469446662607142,0.07469446662607142
Neighborhood_BrkSide,0.03881165980352514,0.03881165980352514
Neighborhood_ClearCr,-0.001319871885231659,0.001319871885231659
Neighborhood_CollgCr,-0.03881115206826815,0.03881115206826815
Neighborhood_Crawfor,0.06388483490567098,0.06388483490567098
Neighborhood_Edwards,-0.0651647440240394,0.0651647440240394
Neighborhood_Gilbert,-0.04370831153591409,0.04370831153591409
Neighborhood_Greens,0.06914020744353759,0.06914020744353759
Neighborhood_GrnHill,0.4417468014709398,0.4417468014709398
Neighborhood_IDOTRR,0.0013981410244142609,0.0013981410244142609
Neighborhood_Landmrk,-0.08045443176764414,0.08045443176764414
Neighborhood_MeadowV,-0.07162579110222687,0.07162579110222687
Neighborhood_Mitchel,-0.052019525014522915,0.052019525014522915
Neighborhood_NAmes,-0.04589240820031762,0.04589240820031762
Neighborhood_NPkVill,0.028183733000159764,0.028183733000159764
Neighborhood_NWAmes,-0.06427927142483694,0.06427927142483694
