Variable,Coeficiente
Roof Matl_WdShngl,493893.8466502204
Roof Matl_Membran,465615.46576866775
Roof Matl_Metal,441157.84698433004
Roof Matl_Roll,431498.99652424874
Roof Matl_WdShake,426945.76563787874
Roof Matl_CompShg,426506.6156751118
Roof Matl_Tar&Grv,426425.1990708043
Misc Feature_Othr,343991.294289679
Misc Feature_None,322280.2747490177
Misc Feature_Shed,317821.9435228422
Misc Feature_Gar2,317281.622778305
Pool QC_None,-201679.33690359254
Neighborhood_GrnHill,98247.59726767051
Pool QC_Fa,-89527.89252982232
Pool QC_TA,-88677.34600051223
MS Zoning_I (all),87471.82306420594
Garage Qual_TA,-85857.9730011427
Garage Qual_Fa,-84453.37963014387
Garage Qual_Po,-84274.58262070193
Pool QC_Gd,-76597.28189406698
Garage Cond_TA,70858.00714113926
Garage Cond_Fa,69498.71575242312
Garage Cond_Po,64573.56542833284
Garage Cond_Gd,60122.70496964715
Garage Qual_Gd,-59239.24171703498
Garage Type_None,45218.93585314761
Mas Vnr Type_CBlock,-44189.64114509742
Utilities_NoSewr,-41219.51666998185
Exterior 1st_CBlock,41079.200241065046
MS Zoning_RH,37595.034509656565
Exterior 2nd_CBlock,-37253.65940606111
MS SubClass_70,33745.960746497076
Bsmt Cond_Po,33167.68351562419
Heating_OthW,-33152.68914106617
Neighborhood_StoneBr,32587.982348764468
MS Zoning_FV,32119.531670573808
Condition 2_PosA,31713.883744337625
Bsmt Qual_None,29708.899512828913
BsmtFin Type 1_None,29708.8995128197
Bsmt Cond_None,29708.899512819295
MS SubClass_40,28599.67829777764
Kitchen Qual_Fa,-28321.625592433218
MS Zoning_RL,28165.57058597266
BsmtFin Type 1_Unf,27339.986905732876
MS SubClass_50,26314.166703995055
Kitchen Qual_TA,-26230.226688316205
Condition 2_PosN,25508.22856596003
Neighborhood_NoRidge,25385.300480667298
2nd Flr SF,25379.85092735102
Kitchen Qual_Gd,-25244.960880614475
Exterior 1st_PreCast,25208.11940987707
Exterior 2nd_PreCast,25208.11940987297
Utilities_NoSeWa,-25164.00510796702
MS SubClass_30,24498.16202737213
Sale Type_Con,24302.817214830786
Exterior 1st_ImStucc,-24245.109678248395
Condition 1_PosN,23939.355831134897
Neighborhood_BrDale,23329.873977583033
Condition 2_RRNn,22865.27221598845
MS Zoning_RM,22723.698682151753
Exter Qual_TA,-22259.071790708676
Functional_Typ,21940.584708409664
MS SubClass_150,-21901.691793724574
Neighborhood_Mitchel,-21759.336306996855
MS SubClass_60,21123.277901708792
Neighborhood_NWAmes,-21083.14103367932
1st Flr SF,20950.35664744519
MS SubClass_75,20859.35464360108
Exter Qual_Gd,-20453.610446525316
MS SubClass_20,20191.688833903307
Exterior 2nd_Stone,-19101.08099181332
MS SubClass_85,18478.7129876505
Neighborhood_SawyerW,-18416.746984290785
Neighborhood_NAmes,-18317.97051544998
Exterior 1st_BrkFace,17876.003344398716
BsmtFin SF 1,17836.068036818062
Bsmt Qual_Gd,-17644.130193575034
Neighborhood_Gilbert,-17632.746668746317
Neighborhood_Edwards,-17527.36792706994
Sale Type_New,17343.727139538158
Neighborhood_Blueste,17236.205748235752
Fireplace Qu_Fa,-16536.075701715967
Neighborhood_Landmrk,-16526.176900328803
Heating QC_Po,-16370.7616713774
Neighborhood_ClearCr,-16366.11309938782
MS Zoning_C (all),16188.147000608174
Neighborhood_CollgCr,-16124.639233200916
Street_Pave,15856.42554019535
Garage Type_Detchd,15585.616001115615
Exterior 2nd_AsphShn,15567.220370633753
Bsmt Qual_TA,-15524.660654928433
MS SubClass_45,15441.055760471318
Exterior 1st_Stone,15036.501311325168
Foundation_Wood,-15012.776586290955
Condition 1_Norm,14860.304934166463
Sale Condition_Alloca,14829.510150726383
Exterior 1st_AsphShn,-14811.27321760551
House Style_1.5Unf,14704.252959619107
Condition 1_PosA,14697.291631252558
Neighborhood_Timber,-14694.21799352658
Functional_Min2,14661.331691709369
Condition 2_RRAe,-14560.845992227438
Neighborhood_Veenker,-14483.502780163382
Exter Qual_Fa,-14479.474544131659
Fireplace Qu_TA,-14134.975413769265
