Variable,Coeficiente
Lot Frontage,-692.0560679964663
Lot Area,9531.795699141561
Overall Qual,16701.324326956517
Overall Cond,5711.40258335626
Year Built,7908.526711340833
Year Remod/Add,857.1658256824797
Mas Vnr Area,6058.6100311812
BsmtFin SF 1,8886.47781709589
BsmtFin SF 2,4889.6412526960985
Bsmt Unf SF,-343.3088816600385
Total Bsmt SF,2836.647003421502
1st Flr SF,18497.03882440188
2nd Flr SF,24577.524062902387
Low Qual Fin SF,1158.8280465360856
Gr Liv Area,1770.9816480782356
Bsmt Full Bath,2808.932502534421
Bsmt Half Bath,-414.815371912192
Full Bath,2991.803518651755
Half Bath,1481.2951981254096
Bedroom AbvGr,-2994.648099994662
Kitchen AbvGr,-3610.6901307530866
TotRms AbvGrd,265.58139815986317
Fireplaces,5911.542447273193
Garage Yr Blt,161.11664910823433
Garage Cars,6947.088896499938
Garage Area,1066.951083912631
Wood Deck SF,1159.008335129898
Open Porch SF,-276.78061422954926
Enclosed Porch,325.01394952449874
3Ssn Porch,241.9234484349669
Screen Porch,3135.9553166498144
Pool Area,2172.3347842572903
Misc Val,-783.0068667333562
MS SubClass_150,-787.3618980359641
MS SubClass_160,1954.0036946783935
MS SubClass_180,405.54699762497665
MS SubClass_190,-1492.4881000687183
MS SubClass_20,7139.705686424259
MS SubClass_30,7148.9217232280325
MS SubClass_40,590.969278258302
MS SubClass_45,2198.94757123818
MS SubClass_50,3524.3126435238723
MS SubClass_60,-1197.3792326666048
MS SubClass_70,2120.4515303841117
MS SubClass_75,1226.6405805218749
MS SubClass_80,-358.17656063049316
MS SubClass_85,2751.044461632415
MS SubClass_90,-643.2347139762701
MS Zoning_C (all),873.6227511080502
MS Zoning_FV,4964.419343149807
MS Zoning_I (all),748.815169358892
MS Zoning_RH,2731.7652051064997
MS Zoning_RL,5272.771608775654
MS Zoning_RM,1381.3176722824085
Street_Pave,16629.279514360176
Alley_None,6437.80652419461
Alley_Pave,2760.088957544123
Lot Shape_IR2,6242.079584353749
Lot Shape_IR3,-5718.594900108953
Lot Shape_Reg,1139.0580131698377
Land Contour_HLS,12699.899778581912
Land Contour_Low,3636.187202762236
Land Contour_Lvl,9629.991286092285
Utilities_NoSeWa,-439.74078167308187
Utilities_NoSewr,748.815169358892
Lot Config_CulDSac,7444.551414744548
Lot Config_FR2,-1601.533021629435
Lot Config_FR3,-937.8485138996209
Lot Config_Inside,696.1404068574356
Land Slope_Mod,7149.578449893025
Land Slope_Sev,-708.9451679359291
Neighborhood_Blueste,898.4483291877457
Neighborhood_BrDale,4197.263230752416
Neighborhood_BrkSide,6656.668253563472
Neighborhood_ClearCr,-869.7120242460087
Neighborhood_CollgCr,-7834.855889143559
Neighborhood_Crawfor,5501.622147628301
Neighborhood_Edwards,-9163.404211016643
