Tamaño entrenamiento,MSE Entrenamiento,MSE Validación,STD Validación
187,71005534.11459067,1204718145.552824,208131098.62846956
375,266890535.50369447,1079401052.1234126,190668397.30950356
562,362754344.2077997,935989428.9889094,343754029.9070783
750,412281320.5289656,848469741.1476526,305934849.7313382
937,442163188.910079,813292059.7483579,309668256.7216976
1125,472336422.32033795,804493777.95909,327972095.0554946
1312,519609157.42643845,792653750.1299424,312622488.9225989
1500,532416901.15637684,779424576.9575851,316563041.5010844
1687,537611276.2942607,772447261.099869,326211306.0055539
1875,530566200.1625474,756961220.6046022,324302291.1815223
